,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_,_,_
0,2015Mahindra XUV500 W8 2WD,Mahindra,10.58 Lakh*,2015,Dealer,"47,000 kms",First Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
1,2015Mahindra XUV500 W8 2WD,Mahindra,9.5 Lakh*,2015,Dealer,"53,107 kms",Second Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
2,2014Mahindra XUV500 W8 2WD,Mahindra,9.5 Lakh*,2014,Dealer,"40,000 kms",First Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
3,2016Mahindra TUV 300 T6,Mahindra,7 Lakh*,2016,Dealer,"46,000 kms",First Owner,Diesel,Manual,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque240Nm@ 1600-2800rpm,Wheel Size15,Seats7,,,
4,2013Mahindra Bolero 2011-2019 ZLX,Mahindra,5.75 Lakh*,2013,Dealer,"75,000 kms",First Owner,Diesel,Manual,Mileage15.96 kmpl,Engine2523 CC,Max Power62.1 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,,,
5,2019Mahindra Thar 4X4,Mahindra,10.25 Lakh*,2019,Dealer,"14,000 kms",First Owner,Diesel,Manual,Variant -  4X4,Mileage16.55 kmpl,Engine2498 CC,Max Power105 bhp,Torque247Nm@ 1800-2000rpm,Wheel Size16,Seats7,,
6,2016Mahindra XUV500 AT W10 AWD,Mahindra,15.45 Lakh*,2016,Dealer,"22,283 kms",First Owner,Diesel,Automatic,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
7,2016Mahindra KUV 100 mFALCON D75 K8 5str,Mahindra,5.25 Lakh*,2016,Dealer,"34,000 kms",First Owner,Diesel,Manual,Mileage25.32 kmpl,Engine1198 CC,Max Power77 bhp,Torque190Nm@ 1750-2250rpm,Wheel SizeN/A,Seats5,,,
8,2017Mahindra XUV500 AT W6 1.99 mHawk,Mahindra,12.75 Lakh*,2017,Dealer,"44,000 kms",First Owner,Diesel,Automatic,Mileage16.0 kmpl,Engine1997 CC,Max Power140 bhp,Torque320Nm@ 1600-2800rpm,Wheel Size17,Seats7,,,
9,2015Mahindra TUV 300 T6 Plus,Mahindra,5.9 Lakh*,2015,Dealer,"39,000 kms",First Owner,Diesel,Manual,Variant -  T6 Plus,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque240Nm@ 1600-2800rpm,Wheel Size15,Seats7,,
10,2011Mahindra Scorpio SLE BSIV,Mahindra,5.65 Lakh*,2011,Dealer,"60,000 kms",First Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8,,,
11,2014Mahindra XUV500 W8 2WD,Mahindra,8.9 Lakh*,2014,Dealer,"80,000 kms",First Owner,Diesel,Manual,Variant -  W8 2WD,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,
12,2016Mahindra TUV 300 T8 Plus AMT,Mahindra,8.55 Lakh*,2016,Dealer,"30,407 kms",First Owner,Diesel,Automatic,Mileage18.49 kmpl,Engine1493 CC,Max Powernull bhp,TorqueN/A,,,,,
13,2018Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,5.85 Lakh*,2018,Dealer,"9,000 kms",First Owner,Diesel,Manual,Mileage25.32 kmpl,Engine1198 CC,Max Power77 bhp,Torque190Nm@ 1750-2250rpm,Wheel SizeN/A,Seats6,,,
14,2016Mahindra XUV500 AT W10 1.99 mHawk,Mahindra,12.75 Lakh*,2016,Dealer,"88,000 kms",First Owner,Diesel,Automatic,Mileage16.0 kmpl,Engine1997 CC,Max Power140 bhp,Torque320Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
15,2016Mahindra XUV500 AT W8 FWD,Mahindra,14.15 Lakh*,2016,Dealer,"37,000 kms",First Owner,Diesel,Automatic,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
16,2016Mahindra KUV 100 mFALCON D75 K6 Plus,Mahindra,4.95 Lakh*,2016,Dealer,"46,000 kms",First Owner,Diesel,Manual,Mileage25.32 kmpl,Engine1198 CC,Max Power77 bhp,Torque190Nm@ 1750-2250rpm,Wheel Size14,Seats6,,,
17,2013Mahindra XUV500 W8 2WD,Mahindra,8.25 Lakh*,2013,Dealer,"1,00,000 kms",First Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
18,2016Mahindra Scorpio S10 8 Seater,Mahindra,11.5 Lakh*,2016,Dealer,"58,676 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine2179 CC,Max Power120 bhp,Torque280Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8,,,
19,2012Mahindra XUV500 W8 2WD,Mahindra,8.95 Lakh*,2012,Dealer,"59,116 kms",First Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
20,2016Mahindra KUV 100 D75 K8,Mahindra,5.48 Lakh*,2016,Dealer,"24,000 kms",First Owner,Diesel,Manual,Mileage25.32 kmpl,Engine1198 CC,Max Power77 bhp,Torque190Nm@ 1750-2250rpm,Wheel SizeN/A,Seats6,,,
21,2016Mahindra XUV500 W10 2WD,Mahindra,11 Lakh*,2016,Individual,"1,65,000 kms",First Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
22,2012Mahindra Scorpio VLX 2WD AIRBAG AT BSIV,Mahindra,6.75 Lakh*,2012,Dealer,"1,28,000 kms",First Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8,,,
23,2018Mahindra Marazzo M8,Mahindra,12.9 Lakh*,2018,Dealer,"32,446 kms",First Owner,Diesel,Manual,Mileage17.3 kmpl,Engine1497 CC,Max Power121 bhp,Torque300Nm@ 1750-2500rpm,Wheel SizeN/A,Seats7,,,
24,2012Mahindra Xylo E8 ABS BS IV,Mahindra,5.75 Lakh*,2012,Dealer,"45,000 kms",First Owner,Diesel,Manual,Mileage11.68 kmpl,Engine2498 CC,Max Power112 bhp,Torque260Nm@ 1800-2200rpm,Wheel SizeN/A,Seats8,,,
25,2012Mahindra XUV500 W8 2WD,Mahindra,7.95 Lakh*,2012,Dealer,"85,000 kms",Second Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
26,2008Mahindra Scorpio SLX 2.6 Turbo 8 Str,Mahindra,3.85 Lakh*,2008,Dealer,"1,04,248 kms",Second Owner,Diesel,Manual,Mileage10.5 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,,,
27,2010Mahindra Scorpio 2009-2014 VLX 2WD 7S BSIV,Mahindra,5.45 Lakh*,2010,Dealer,"95,000 kms",Second Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,,,
28,2015Mahindra XUV500 W10 AWD,Mahindra,14 Lakh*,2015,Dealer,"36,000 kms",Second Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
29,2005Mahindra Scorpio 2.6 CRDe,Mahindra,2.5 Lakh*,2005,Individual,"1,20,000 kms",Fourth & Above Owner,Diesel,Manual,Mileage10.5 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8,,,
30,2012Mahindra Verito 1.5 D6 BSIV,Mahindra,3.8 Lakh*,2012,Dealer,"73,000 kms",First Owner,Diesel,Manual,Mileage21.03 kmpl,Engine1461 CC,Max Power65 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
31,2015Mahindra Scorpio 1.99 S4 Plus,Mahindra,8.5 Lakh*,2015,Dealer,"71,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine1997 CC,Max Power120 bhp,Torque280Nm@ 1800-2800rpm,Wheel Size17,Seats7,,,
32,2014Mahindra XUV500 W8 2WD,Mahindra,9.75 Lakh*,2014,Dealer,"1,24,000 kms",First Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
33,2012Mahindra XUV500 AT W8 FWD,Mahindra,6.85 Lakh*,2012,Dealer,"1,10,000 kms",Second Owner,Diesel,Automatic,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
34,2012Mahindra Scorpio VLX 2WD BSIV,Mahindra,7.73 Lakh*,2012,Dealer,"87,000 kms",First Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8,,,
35,2010Mahindra Scorpio VLX,Mahindra,5.35 Lakh*,2010,Dealer,"1,06,000 kms",Second Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats8,,,
36,2012Mahindra XUV500 W8 2WD,Mahindra,8.5 Lakh*,2012,Dealer,"76,844 kms",Second Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
37,2012Mahindra Scorpio 2009-2014 SLE 7S BSIII,Mahindra,5.25 Lakh*,2012,Dealer,"1,74,257 kms",First Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Torque290Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,,,
38,2009Mahindra Xylo E8 ABS Airbag,Mahindra,4 Lakh*,2009,Dealer,"78,000 kms",Second Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2498 CC,Max Power112 bhp,Torque260 Nm at 1800-2200 rpm,Wheel SizeN/A,Seats7,,,
39,2015Mahindra Supro VX 8 Str BSIII,Mahindra,3 Lakh*,2015,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage23.5 kmpl,Engine909 CC,Max Power45 bhp,Torque98Nm@ 1600-3000rpm,Wheel Size13,Seats8,,,
40,2012Mahindra XUV500 W8 2WD,Mahindra,6.3 Lakh*,2012,Individual,"1,74,000 kms",First Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
41,2012Mahindra XUV500 W8 2WD,Mahindra,6 Lakh*,2012,Individual,"1,20,000 kms",Third Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
42,2015Mahindra Scorpio 1.99 S10,Mahindra,10.95 Lakh*,2015,Dealer,"28,675 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine1997 CC,Max Power120 bhp,Torque280Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,,,
43,2014Mahindra e2o T2,Mahindra,2.5 Lakh*,2014,Individual,"15,000 kms",First Owner,Electric,Automatic,Mileage120.0 km/hr,Engine0 CC,Max Power25.5 bhp,Torque53Nm@ 0-3400rpm,Wheel Size13,Seats5,,,
44,2016Mahindra XUV500 AT W10 AWD,Mahindra,12.95 Lakh*,2016,Dealer,"83,000 kms",First Owner,Diesel,Automatic,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
45,2014Mahindra Bolero 2011-2019 ZLX,Mahindra,5.5 Lakh*,2014,Individual,"70,000 kms",Second Owner,Diesel,Manual,Mileage15.96 kmpl,Engine2523 CC,Max Power62.1 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,,,
46,2017Mahindra XUV500 W10 AWD,Mahindra,16 Lakh*,2017,Individual,"24,000 kms",First Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
47,2018Mahindra KUV 100 D75 K8,Mahindra,5.5 Lakh*,2018,Individual,"13,000 kms",First Owner,Diesel,Manual,Mileage25.32 kmpl,Engine1198 CC,Max Power77 bhp,Torque190Nm@ 1750-2250rpm,Wheel SizeN/A,Seats6,,,
48,2015Mahindra TUV 300 T8 AMT,Mahindra,7.75 Lakh*,2015,Individual,"35,000 kms",Second Owner,Diesel,Automatic,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque230Nm@ 1500-2250rpm,Wheel SizeN/A,Seats7,,,
49,2017Mahindra TUV 300 T8 AMT,Mahindra,7.5 Lakh*,2017,Individual,"25,000 kms",First Owner,Diesel,Automatic,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque230Nm@ 1500-2250rpm,Wheel SizeN/A,Seats7,,,
50,2016Mahindra XUV500 AT W10 1.99 mHawk,Mahindra,12.9 Lakh*,2016,Individual,"55,000 kms",Third Owner,Diesel,Automatic,Mileage16.0 kmpl,Engine1997 CC,Max Power140 bhp,Torque320Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
51,2013Mahindra Ingenio CRDe,Mahindra,2.2 Lakh*,2013,Individual,"60,000 kms",Second Owner,Diesel,Manual,Mileage0.0 kmpl,Engine2489 CC,Max Powernull bhp,TorqueN/A,Wheel SizeN/A,Seats2,,,
52,2017Mahindra TUV 300 T10 Dual Tone,Mahindra,9.25 Lakh*,2017,Individual,"31,200 kms",First Owner,Diesel,Manual,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque240Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
53,2018Tata Nexon 1.5 Revotorq XZA Plus,Tata,10.75 Lakh*,2018,Dealer,"22,000 kms",First Owner,Diesel,Automatic,Mileage21.5 kmpl,Engine1497 CC,Max Power108.5 bhp,Torque260Nm@ 1500-2750rpm,Wheel SizeN/A,Seats5,,,
54,2015Tata Nano Twist XT,Tata,1.7 Lakh*,2015,Dealer,"17,000 kms",First Owner,Petrol,Manual,Mileage25.4 kmpl,Engine624 CC,Max Power37.5 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12,Seats4,,,
55,2016Tata Tiago 1.2 Revotron XZ,Tata,4.7 Lakh*,2016,Dealer,"58,666 kms",First Owner,Petrol,Manual,Mileage23.84 kmpl,Engine1199 CC,Max Power84 bhp,Torque114Nm@ 3500rpm,Wheel SizeN/A,Seats5,,,
56,2018Tata Tiago 1.2 Revotron XZ,Tata,5.45 Lakh*,2018,Dealer,"12,321 kms",First Owner,Petrol,Manual,Mileage23.84 kmpl,Engine1199 CC,Max Power84 bhp,Torque114Nm@ 3500rpm,Wheel SizeN/A,Seats5,,,
57,2018Tata Nexon KRAZ Plus,Tata,8.95 Lakh*,2018,Dealer,"13,474 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1198 CC,Max Power108.5 bhp,Torque170Nm@ 1750-4000rpm,Wheel Size16,Seats5,,,
58,2016Tata Nano XT,Tata,2.13 Lakh*,2016,Dealer,"35,000 kms",First Owner,Petrol,Manual,Mileage23.9 kmpl,Engine624 CC,Max Power37.48 bhp,Torque51Nm@ 4000rpm,Wheel Size12,Seats4,,,
59,2017Tata Zest Revotron 1.2T XE,Tata,4 Lakh*,2017,Individual,"1,25,000 kms",Second Owner,Petrol,Manual,Mileage17.57 kmpl,Engine1193 CC,Max Power88.7 bhp,Torque140Nm@ 1500-4000rpm,Wheel Size14,Seats5,,,
60,2018Tata Nexon KRAZ,Tata,7.5 Lakh*,2018,Dealer,"45,135 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1198 CC,Max Power108.5 bhp,Torque170Nm@ 1750-4000rpm,Wheel Size16,Seats5,,,
61,2015Tata Indigo CS LX (TDI) BS-III,Tata,4 Lakh*,2015,Individual,"60,000 kms",First Owner,Diesel,Manual,Mileage19.09 kmpl,Engine1405 CC,Max Power69.01 bhp,Torque135Nm@ 2500rpm,Wheel Size14,Seats5,,,
62,2015Tata Indica V2 DLS BSIII,Tata,1.4 Lakh*,2015,Individual,"1,36,000 kms",Third Owner,Diesel,Manual,Mileage17.88 kmpl,Engine1405 CC,Max Power48.21 bhp,Torque85Nm@ 2500rpm,Wheel Size13,Seats5,,,
63,2016Tata Hexa XTA,Tata,6.29 Lakh*,2016,Individual,"60,000 kms",Third Owner,Diesel,Automatic,Variant -  XTA,Mileage17.6 kmpl,Engine2179 CC,Max Power153.86 bhp,Torque400Nm@ 1750-2500rpm,Wheel SizeN/A,Seats7,,
64,2015Tata Nano Twist XT,Tata,1.85 Lakh*,2015,Individual,"30,000 kms",First Owner,Petrol,Manual,Mileage25.4 kmpl,Engine624 CC,Max Power37.5 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12,Seats4,,,
65,2011Tata Nano Cx BSIII,Tata,"80,000*",2011,Dealer,"24,000 kms",First Owner,Petrol,Manual,Variant -  Cx BSIII,Mileage25.4 kmpl,Engine624 CC,Max Power38 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12 x 4 B,Seats4,,
66,2013Tata Safari Storme EX,Tata,5.5 Lakh*,2013,Individual,"110,000 kms",Second Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2179 CC,Max Power138.1 bhp,Torque320Nm@ 1700-2700rpm,Wheel Size16,Seats7,,,
67,2014Tata Indica V2 DLS BSIII,Tata,1.3 Lakh*,2014,Individual,"1,80,000 kms",Second Owner,Diesel,Manual,Mileage17.88 kmpl,Engine1405 CC,Max Power48.21 bhp,Torque85Nm@ 2500rpm,Wheel Size13,Seats5,,,
68,2014Tata Indica Vista TDI LS,Tata,2.5 Lakh*,2014,Individual,"1,00,000 kms",First Owner,Diesel,Manual,Variant -  TDI LS,Mileage19.1 kmpl,Engine1405 CC,Max Power70 bhp,Torque135.4Nm@ 2500rpm,Wheel Size14,Seats5,,
69,2016Tata Safari Storme EX,Tata,10.5 Lakh*,2016,Individual,"25,000 kms",First Owner,Diesel,Manual,Mileage14.1 kmpl,Engine2179 CC,Max Power147.94 bhp,Torque320Nm@ 1500-3000rpm,Wheel Size16,Seats7,,,
70,2010Tata Indigo LX Dicor,Tata,2.1 Lakh*,2010,Dealer,"51,000 kms",First Owner,Diesel,Manual,Mileage17.1 kmpl,Engine1396 CC,Max Power70 bhp,"Torque14.1@ 1,800-3,000(kgm@ rpm)",Wheel SizeN/A,Seats5,,,
71,2012Tata Sumo EX,Tata,2 Lakh*,2012,Individual,"2,00,000 kms",First Owner,Diesel,Manual,Mileage15.3 kmpl,Engine2956 CC,Max Power83.8 bhp,Torque250Nm@ 1000-2000rpm,Wheel Size15,Seats7,,,
72,2010Tata Indigo LX Dicor,Tata,2.1 Lakh*,2010,Dealer,"51,000 kms",First Owner,Diesel,Manual,Mileage17.1 kmpl,Engine1396 CC,Max Power70 bhp,"Torque14.1@ 1,800-3,000(kgm@ rpm)",Wheel SizeN/A,Seats5,,,
73,2012Tata Sumo EX,Tata,2 Lakh*,2012,Individual,"2,00,000 kms",First Owner,Diesel,Manual,Mileage15.3 kmpl,Engine2956 CC,Max Power83.8 bhp,Torque250Nm@ 1000-2000rpm,Wheel Size15,Seats7,,,
74,2018Tata Tiago 2019-2020 XZA,Tata,5.75 Lakh*,2018,Individual,"18,020 kms",First Owner,Petrol,Automatic,Mileage23.84 kmpl,Engine1199 CC,Max Power83.83 bhp,Torque114Nm@ 3500rpm,Wheel Size14,Seats5,,,
75,2013Tata Nano LX,Tata,1.1 Lakh*,2013,Dealer,"61,000 kms",Second Owner,Petrol,Manual,Variant -  LX,Mileage25.4 kmpl,Engine624 CC,Max Power37.48 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12,Seats4,,
76,2011Tata Manza Aqua Quadrajet BS IV,Tata,2.6 Lakh*,2011,Individual,"80,000 kms",Third Owner,Diesel,Manual,Mileage21.12 kmpl,Engine1248 CC,Max Power88.8 bhp,Torque200Nm@ 1750-3000rpm,Wheel Size5.5J x 15,Seats5,,,
77,2019Tata Tiago NRG Petrol,Tata,5.2 Lakh*,2019,Individual,"10,000 kms",First Owner,Petrol,Manual,Mileage24.0 kmpl,Engine1199 CC,Max Power83.81 bhp,Torque114Nm@ 3500rpm,Wheel SizeN/A,Seats5,,,
78,2011Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,Tata,3 Lakh*,2011,Individual,"30,000 kms",First Owner,Diesel,Manual,Mileage18.4 kmpl,Engine1248 CC,Max Power75 bhp,Torque190Nm@ 1750rpm,Wheel SizeN/A,Seats5,,,
79,2016Tata Indica Vista TDI LX,Tata,1.7 Lakh*,2016,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Mileage19.1 kmpl,Engine1405 CC,Max Power70 bhp,Torque135.4Nm@ 2500rpm,Wheel Size14,Seats5,,,
80,2007Tata Indica GLS BS IV,Tata,1.5 Lakh*,2007,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage15.3 kmpl,Engine1193 CC,Max Power65.3 bhp,Torque102Nm@ 2600rpm,Wheel Size4.5J x 13,Seats5,,,
81,2012Tata Nano Lx BSIV,Tata,"90,000*",2012,Individual,"35,000 kms",Second Owner,Petrol,Manual,Mileage25.4 kmpl,Engine624 CC,Max Power37.48 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12 x 4 B,Seats4,,,
82,2010Tata Nano Lx,Tata,"75,000*",2010,Individual,"64,000 kms",First Owner,Petrol,Manual,Mileage26.0 kmpl,Engine624 CC,Max Power35 bhp,Torque4.8kgm@ 3000rpm,Wheel SizeN/A,Seats4,,,
83,2010Tata New Safari Dicor EX 4X2,Tata,3.95 Lakh*,2010,Dealer,"1,02,000 kms",Second Owner,Diesel,Manual,Mileage13.93 kmpl,Engine2179 CC,Max Power138.1 bhp,Torque320Nm@ 1700-2700rpm,Wheel SizeN/A,Seats7,,,
84,2005Tata Indigo GLX,Tata,"96,000*",2005,Individual,"80,000 kms",Fourth & Above Owner,Petrol,Manual,Mileage12.8 kmpl,Engine1396 CC,Max Power85 bhp,"Torque12@ 3,500(kgm@ rpm)",Wheel SizeN/A,Seats5,,,
85,2012Tata Safari DICOR 2.2 EX 4x2,Tata,4 Lakh*,2012,Individual,"70,000 kms",Third Owner,Diesel,Manual,Mileage13.93 kmpl,Engine2179 CC,Max Power138.03 bhp,Torque320Nm@ 1700-2700rpm,Wheel Size16,Seats7,,,
86,2012Tata Nano Lx BSIV,Tata,"70,000*",2012,Individual,"80,000 kms",First Owner,Petrol,Manual,Mileage25.4 kmpl,Engine624 CC,Max Power37.48 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12 x 4 B,Seats4,,,
87,2012Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2 Lakh*,2012,Individual,"1,10,000 kms",Third Owner,Diesel,Manual,Mileage21.12 kmpl,Engine1248 CC,Max Power88.8 bhp,Torque200Nm@ 1750-3000rpm,Wheel Size5.5J x 15,Seats5,,,
88,2013Tata Nano LX,Tata,"90,000*",2013,Individual,"80,000 kms",Second Owner,Petrol,Manual,Mileage25.4 kmpl,Engine624 CC,Max Power37.48 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12,Seats4,,,
89,2005Tata Sumo SA,Tata,1.5 Lakh*,2005,Individual,"1,20,000 kms",Fourth & Above Owner,Diesel,Manual,Mileage14.07 kmpl,Engine2956 CC,Max Power83.1 bhp,Torque250Nm@ 1600-2000rpm,Wheel SizeN/A,Seats7,,,
90,2017Tata Tiago 1.2 Revotron XZA,Tata,5.45 Lakh*,2017,Dealer,"12,843 kms",Second Owner,Petrol,Automatic,Variant -  1.2 Revotron XZA,Mileage23.84 kmpl,Engine1199 CC,Max Power83.83 bhp,Torque114Nm@ 3500rpm,Wheel SizeN/A,Seats5,,
